epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,686.266,0.62012,0.86122,0.53193,0.8858,0.84869,0.86519,0.87139,0.7409,0.84869,0.86519,0.87139,0.71177,0.61345,0.88042,0.62081,0.90165,0.00131865,0.00131865,0.00131865
80,694.52,0.62878,0.9129,0.53905,0.8916,0.87937,0.82702,0.87123,0.75051,0.87937,0.82702,0.87123,0.70451,0.63475,0.98409,0.64637,0.9272,0.00131724,0.00131724,0.00131724
81,702.832,0.63775,0.91392,0.54372,0.89295,0.81608,0.88422,0.87896,0.74264,0.81289,0.88095,0.87755,0.72826,0.62169,0.86612,0.61745,0.90247,0.00131582,0.00131582,0.00131582
82,710.503,0.63062,0.86841,0.54062,0.8842,0.84574,0.89984,0.91134,0.78834,0.84574,0.89984,0.91134,0.76836,0.59182,0.86286,0.57575,0.88974,0.00131441,0.00131441,0.00131441
83,720.055,0.61846,0.8681,0.53065,0.88223,0.80759,0.83007,0.81891,0.68286,0.80759,0.83007,0.81891,0.66384,0.62187,0.85067,0.80257,0.92113,0.00131299,0.00131299,0.00131299
84,728.103,0.62801,0.87926,0.53569,0.88773,0.82962,0.80698,0.86173,0.71358,0.82962,0.80698,0.86173,0.71674,0.6538,0.86202,0.66706,0.92957,0.00131158,0.00131158,0.00131158
85,737.08,0.64017,0.9041,0.53014,0.89082,0.81306,0.90613,0.86997,0.72969,0.81306,0.90613,0.86997,0.74197,0.61986,0.81547,0.64353,0.92171,0.00131016,0.00131016,0.00131016
86,746.062,0.61661,0.87601,0.52645,0.88724,0.85575,0.90806,0.8772,0.75202,0.85575,0.90806,0.8772,0.73854,0.62431,0.82042,0.5883,0.92132,0.00130875,0.00130875,0.00130875
87,753.069,0.61346,0.8531,0.51897,0.87942,0.74901,0.91199,0.83498,0.71718,0.74901,0.91199,0.83498,0.70912,0.6001,0.80662,0.69512,0.90662,0.00130733,0.00130733,0.00130733
88,762.004,0.62482,0.88133,0.5261,0.8909,0.84253,0.90527,0.8738,0.7642,0.84253,0.90527,0.8738,0.75716,0.59731,0.81248,0.58153,0.89371,0.00130592,0.00130592,0.00130592
89,769.101,0.59764,0.83416,0.514,0.89172,0.82736,0.89774,0.88555,0.77474,0.82736,0.89774,0.88555,0.75401,0.59023,0.7909,0.59605,0.89499,0.00130451,0.00130451,0.00130451
90,777.576,0.63996,0.90548,0.53371,0.88576,0.80038,0.88494,0.88425,0.76094,0.80038,0.88494,0.88425,0.75336,0.63551,0.80943,0.64348,0.90488,0.00130309,0.00130309,0.00130309
91,785.171,0.62717,0.86266,0.51567,0.89033,0.81939,0.8777,0.8705,0.75754,0.81939,0.8777,0.8705,0.74151,0.58924,0.80941,0.6364,0.88548,0.00130168,0.00130168,0.00130168
92,793.553,0.6199,0.86837,0.50756,0.88682,0.82283,0.88205,0.8416,0.71647,0.82283,0.88205,0.8416,0.70662,0.62108,0.82424,0.65664,0.89895,0.00130026,0.00130026,0.00130026
93,802.939,0.60703,0.84386,0.50072,0.87669,0.85945,0.88121,0.87819,0.75104,0.85945,0.88121,0.87819,0.7388,0.63188,0.8019,0.56506,0.90879,0.00129885,0.00129885,0.00129885
94,810.467,0.62273,0.87242,0.51917,0.88652,0.8412,0.84632,0.8678,0.75987,0.84245,0.84742,0.86799,0.73467,0.5929,0.80193,0.59076,0.89794,0.00129743,0.00129743,0.00129743
95,819.668,0.60628,0.86261,0.51195,0.88306,0.79785,0.893,0.86546,0.74233,0.79785,0.893,0.86684,0.73034,0.61037,0.83093,0.60139,0.89922,0.00129602,0.00129602,0.00129602
96,826.869,0.61155,0.87276,0.50437,0.8837,0.74938,0.95115,0.8875,0.75251,0.74938,0.95115,0.8875,0.7436,0.60857,0.87283,0.61342,0.90508,0.0012946,0.0012946,0.0012946
97,835.949,0.60206,0.86187,0.50266,0.88134,0.85709,0.87639,0.90224,0.79062,0.85709,0.87639,0.90224,0.77268,0.57323,0.85543,0.57663,0.88625,0.00129319,0.00129319,0.00129319
98,843.201,0.60036,0.84928,0.50187,0.87686,0.8498,0.9117,0.89214,0.7692,0.8498,0.9117,0.89214,0.76073,0.61306,0.8355,0.58233,0.90828,0.00129177,0.00129177,0.00129177
99,851.969,0.60819,0.85732,0.50989,0.88134,0.81754,0.89286,0.83303,0.71411,0.81754,0.89286,0.83303,0.68468,0.59527,0.87463,0.60111,0.89772,0.00129036,0.00129036,0.00129036
100,859.148,0.58598,0.83281,0.48002,0.87408,0.72236,0.91847,0.85951,0.74325,0.72236,0.91847,0.85951,0.7307,0.61007,0.85292,0.65063,0.91082,0.00128894,0.00128894,0.00128894
101,867.409,0.62305,0.89114,0.50974,0.88528,0.74718,0.88548,0.85284,0.74681,0.74718,0.88548,0.85284,0.73051,0.58816,0.8411,0.63821,0.89422,0.00128753,0.00128753,0.00128753
102,876.388,0.59418,0.8279,0.49445,0.88747,0.85332,0.80532,0.88959,0.7741,0.85332,0.80532,0.88959,0.75794,0.61063,0.82738,0.59671,0.90816,0.00128611,0.00128611,0.00128611
103,884.078,0.59481,0.82322,0.48342,0.8793,0.82975,0.82838,0.89327,0.77042,0.82975,0.82838,0.89327,0.75416,0.61124,0.86799,0.58975,0.90414,0.0012847,0.0012847,0.0012847
104,892.629,0.59629,0.86673,0.48578,0.87524,0.75926,0.8905,0.84343,0.72096,0.75926,0.8905,0.84343,0.70548,0.60849,0.87536,0.6606,0.91432,0.00128328,0.00128328,0.00128328
105,900.066,0.58485,0.83775,0.48066,0.87747,0.74662,0.86552,0.82922,0.70066,0.74662,0.86552,0.82922,0.69762,0.61971,0.87823,0.69627,0.91275,0.00128187,0.00128187,0.00128187
106,908.632,0.57606,0.81997,0.47402,0.876,0.8254,0.86778,0.86578,0.73184,0.8254,0.86778,0.86578,0.72302,0.61671,0.84702,0.64969,0.89912,0.00128046,0.00128046,0.00128046
107,919.633,0.62068,0.90235,0.50437,0.88484,0.86185,0.83803,0.87467,0.741,0.86185,0.83803,0.87467,0.72749,0.62474,0.86825,0.65723,0.90919,0.00127904,0.00127904,0.00127904
108,926.922,0.60976,0.85313,0.49093,0.88066,0.78335,0.90028,0.87423,0.73094,0.78335,0.90028,0.87438,0.71586,0.636,0.8974,0.62751,0.91544,0.00127763,0.00127763,0.00127763
109,935.968,0.59898,0.83906,0.49798,0.87704,0.84703,0.88896,0.84443,0.72557,0.84703,0.88896,0.84522,0.7173,0.58925,0.8273,0.66409,0.8912,0.00127621,0.00127621,0.00127621
110,942.555,0.59565,0.84221,0.50132,0.87608,0.83474,0.8943,0.87725,0.76341,0.83176,0.89103,0.87697,0.74933,0.57543,0.81736,0.58327,0.89167,0.0012748,0.0012748,0.0012748
111,951.784,0.62078,0.88479,0.51066,0.88474,0.83304,0.9133,0.90574,0.76882,0.83304,0.9133,0.90574,0.75891,0.62705,0.8599,0.5843,0.90544,0.00127338,0.00127338,0.00127338
112,958.756,0.58444,0.82357,0.48189,0.87914,0.81044,0.90163,0.91161,0.78693,0.81044,0.90163,0.91161,0.78272,0.56172,0.8161,0.55433,0.89195,0.00127197,0.00127197,0.00127197
113,967.299,0.59509,0.84261,0.49579,0.878,0.84677,0.88516,0.88458,0.76423,0.84677,0.88516,0.88458,0.75088,0.58643,0.84205,0.60604,0.90414,0.00127055,0.00127055,0.00127055
114,974.689,0.58484,0.83742,0.48372,0.87547,0.89433,0.91461,0.91823,0.79402,0.89433,0.91461,0.91823,0.77186,0.59294,0.81145,0.58952,0.90089,0.00126914,0.00126914,0.00126914
115,983.668,0.59651,0.85892,0.4865,0.87476,0.86316,0.88312,0.90456,0.77016,0.86316,0.88312,0.90456,0.77126,0.5817,0.78849,0.60465,0.89881,0.00126772,0.00126772,0.00126772
116,991.344,0.59244,0.8254,0.47836,0.87564,0.84747,0.9111,0.89873,0.75843,0.84747,0.9111,0.89873,0.76414,0.57539,0.79461,0.60353,0.89721,0.00126631,0.00126631,0.00126631
117,999.1,0.59657,0.85282,0.48722,0.87006,0.83852,0.86035,0.88523,0.76591,0.83852,0.86035,0.88523,0.76111,0.60106,0.82186,0.62137,0.91532,0.00126489,0.00126489,0.00126489
118,1007.47,0.58472,0.83619,0.48506,0.87587,0.8215,0.86481,0.86861,0.74953,0.8215,0.86481,0.86861,0.73754,0.5743,0.83451,0.62277,0.90646,0.00126348,0.00126348,0.00126348
119,1015.19,0.58094,0.82209,0.46262,0.87178,0.86455,0.8539,0.87195,0.75764,0.86455,0.8539,0.87195,0.72259,0.5849,0.82654,0.59668,0.91433,0.00126206,0.00126206,0.00126206
120,1024.21,0.58788,0.83595,0.46336,0.87376,0.8832,0.87475,0.86679,0.74292,0.87841,0.87996,0.86629,0.73005,0.59044,0.82827,0.5876,0.90876,0.00126065,0.00126065,0.00126065
121,1031.28,0.5786,0.80348,0.45536,0.87074,0.86751,0.8507,0.87406,0.75969,0.86751,0.8507,0.87407,0.732,0.57491,0.83033,0.59583,0.89398,0.00125923,0.00125923,0.00125923
122,1040.01,0.58177,0.81704,0.46536,0.87331,0.81893,0.92026,0.88502,0.76147,0.81893,0.92026,0.8853,0.75473,0.59487,0.84405,0.60758,0.89177,0.00125782,0.00125782,0.00125782
123,1047.28,0.60275,0.85348,0.47591,0.88377,0.82423,0.81509,0.86014,0.744,0.82423,0.81509,0.8604,0.73167,0.56529,0.78855,0.70797,0.88981,0.00125641,0.00125641,0.00125641
